"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EBF","Ennis, Inc.","18.25","$465.18M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","32.55","$1.1B","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","75.26","$1.58B","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","6.72","$2.94B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ETM","Entercom Communications Corp.","7.25","$1B","1999","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, Inc.","24.04","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, Inc.","23.93","n/a","2013","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, Inc.","24.45","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","79.48","$14.37B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","24.2","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","25.24","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","23.7625","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, Inc.","24.29","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, LLC","24.2","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, LLC","25.56","n/a","2016","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","26.01","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ezt",
"EPD","Enterprise Products Partners L.P.","27.98","$60.79B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","4.15","$368.62M","2000","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/evc",
"ENV","Envestnet, Inc","54.5","$2.46B","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"EVHC","Envision Healthcare Corporation","43.21","$5.23B","2016","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/evhc",
"EVA","Enviva Partners, LP","30.85","$812.91M","2015","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","6.54","$307.39M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","119.98","$69.45B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","2.83","$711.37M","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epe",
"EPAM","EPAM Systems, Inc.","123.82","$6.61B","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"EPR","EPR Properties","60.87","$4.52B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/epr",
"EPR^C","EPR Properties","25.8788","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^c",
"EPR^E","EPR Properties","34.3333","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^e",
"EPR^G","EPR Properties","22.56","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^g",
"EQT","EQT Corporation","50.83","$13.49B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eqt",
"EQGP","EQT GP Holdings, LP","24.85","$6.61B","2015","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqgp",
"EQM","EQT Midstream Partners, LP","56.45","$4.55B","2012","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqm",
"EFX","Equifax, Inc.","114.66","$13.79B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/efx",
"EQNR","Equinor ASA","26.12","$86.97B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/eqnr",
"EQC","Equity Commonwealth","30.76","$3.74B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","25.65","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqc^d",
"ELS","Equity Lifestyle Properties, Inc.","87.86","$7.8B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/els",
"EQR","Equity Residential","61.2","$22.53B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","2.4","$32.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","13.13","$284.77M","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"EROS","Eros International PLC","13.2","$808.36M","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/eros",
"ESE","ESCO Technologies Inc.","56.3","$1.46B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ese",
"ESNT","Essent Group Ltd.","34.6","$3.39B","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esnt",
